OBJECTID,KOM_NAMN,ID,Shape_Area,Shape_Length,,KOMMUNID_txt
210,Nora,1884,694108301.01.00,1335574.59.00,,1884
211,Lindesberg,1885,1488014905.88721,14842595.45.00,,1885
212,Skinnskatteberg,1904,721351157.05.00,3628685.47.00,,1904
213,Surahammar,1907,371097837.52.00,30131896.07.00,,1907
214,Kungsör,1960,227670867.03.00,78786.3378285594,,1960
215,Hallstahammar,1961,181715741.06.00,83680.8778318224,,1961
216,Norberg,1962,451147179.52.00,12554336.47.00,,1962
217,Västerås,1980,1141853379.73828,12259631.48.00,,1980
218,Sala,1981,1210796457.94287,267290.44.00,,1981
219,Fagersta,1982,311906104.13.00,2221608.46.00,,1982
220,Köping,1983,648428931.42.00,3477258.24.00,,1983
221,Arboga,1984,421363139.11.00,970477.33.00,,1984
222,Vansbro,2021,1665607163.43433,2218100.27.00,,2021
223,Malung-Sälen,2023,4334800351.12036,4082243.54.00,,2023
224,Gagnef,2026,813835588.09.00,11381288.01.00,,2026
225,Leksand,2029,1422736668.93579,12331869.01.00,,2029
226,Rättvik,2031,2147645359.77271,4212485.36.00,,2031
227,Orsa,2034,1806522833.10303,2254420.18.00,,2034
228,Älvdalen,2039,7181825812.63452,16335375.17.00,,2039
229,Smedjebacken,2061,1061635437.27783,5658352.37.00,,2061
230,Mora,2062,3126902023.40576,4878485.29.00,,2062
231,Falun,2080,2286147223.27271,6778976.16.00,,2080
232,Borlänge,2081,638830428.08.00,12008320.32.00,,2081
233,Säter,2082,627482244.03.00,10919931.31.00,,2082
234,Hedemora,2083,933380369.933594,12263538.26.00,,2083
235,Avesta,2084,672374986.11.00,7139431.34.00,,2084
236,Ludvika,2085,1656379207.40771,6810339.24.00,,2085
237,Ockelbo,2101,1134770243.23657,8572168.11.00,,2101
238,Hofors,2104,447963404.54.00,95913.5156427996,,2104
239,Ovanåker,2121,2027303455.62573,1401389.55.00,,2121
240,Nordanstig,2132,1777720471.40063,13761640.52.00,,2132
